Entrez Id,Gene,Dataset,Dependent Cell Lines,Cell Lines with Data,Strongly Selective,Common Essential
49,ACR,DependencyEnum.RNAi_merged,37.0,547.0,False,False
84519,ACRBP,DependencyEnum.RNAi_merged,0.0,547.0,False,False
56,ACRV1,DependencyEnum.RNAi_merged,12.0,343.0,True,False
23205,ACSBG1,DependencyEnum.RNAi_merged,0.0,343.0,False,False
81616,ACSBG2,DependencyEnum.RNAi_merged,0.0,285.0,False,False
80221,ACSF2,DependencyEnum.RNAi_merged,0.0,343.0,False,False
197322,ACSF3,DependencyEnum.RNAi_merged,0.0,343.0,False,False
2180,ACSL1,DependencyEnum.RNAi_merged,0.0,547.0,False,False
2181,ACSL3,DependencyEnum.RNAi_merged,15.0,708.0,True,False
2182,ACSL4,DependencyEnum.RNAi_merged,9.0,709.0,False,False
51703,ACSL5,DependencyEnum.RNAi_merged,0.0,547.0,False,False
23305,ACSL6,DependencyEnum.RNAi_merged,0.0,710.0,False,False
116285,ACSM1,DependencyEnum.RNAi_merged,0.0,547.0,False,False
348158,ACSM2B,DependencyEnum.RNAi_merged,0.0,501.0,False,False
6296,ACSM3,DependencyEnum.RNAi_merged,0.0,547.0,False,False
54988,ACSM5,DependencyEnum.RNAi_merged,0.0,343.0,False,False
142827,ACSM6,DependencyEnum.RNAi_merged,1.0,343.0,True,False
84532,ACSS1,DependencyEnum.RNAi_merged,65.0,547.0,False,False
55902,ACSS2,DependencyEnum.RNAi_merged,0.0,547.0,False,False
79611,ACSS3,DependencyEnum.RNAi_merged,0.0,343.0,False,False
58,ACTA1,DependencyEnum.RNAi_merged,0.0,598.0,False,False
59,ACTA2,DependencyEnum.RNAi_merged,2.0,604.0,True,False
60,ACTB,DependencyEnum.RNAi_merged,159.0,711.0,False,False
345651,ACTBL2,DependencyEnum.RNAi_merged,31.0,343.0,False,False
70,ACTC1,DependencyEnum.RNAi_merged,4.0,708.0,False,False
71,ACTG1,DependencyEnum.RNAi_merged,211.0,711.0,False,False
644961,ACTG1P20,DependencyEnum.RNAi_merged,191.0,401.0,False,False
