PositionID,bChecked,strName,dXPosition,dYPosition,dZPosition,dPFSOffset,row,column,well,field,x,y,well_row_odd,well_row_id,well_column_odd,well_row_order,well_column_order
Point00202,true,E2#2,84500,40300,5212,11765,E,2,E2,2,84500,40300,1,5,1,5,2
Point00203,true,E2#3,84500,42100,5212,11765,E,2,E2,3,84500,42100,1,5,1,5,2
Point00204,true,E2#4,86300,42100,5212,11765,E,2,E2,4,86300,42100,1,5,1,5,2
Point00205,true,E2#5,86300,40300,5212,11765,E,2,E2,5,86300,40300,1,5,1,5,2
Point00206,true,E3#1,75500,38500,5212,11765,E,3,E3,1,75500,38500,1,5,2,-5,3
Point00207,true,E3#2,75500,40300,5212,11765,E,3,E3,2,75500,40300,1,5,2,-5,3
Point00208,true,E3#3,75500,42100,5212,11765,E,3,E3,3,75500,42100,1,5,2,-5,3
Point00209,true,E3#4,77300,42100,5212,11765,E,3,E3,4,77300,42100,1,5,2,-5,3
Point00210,true,E3#5,77300,40300,5212,11765,E,3,E3,5,77300,40300,1,5,2,-5,3
Point00211,true,E4#1,66500,38500,5212,11765,E,4,E4,1,66500,38500,1,5,1,5,4
Point00212,true,E4#2,66500,40300,5212,11765,E,4,E4,2,66500,40300,1,5,1,5,4
Point00213,true,E4#3,66500,42100,5212,11765,E,4,E4,3,66500,42100,1,5,1,5,4
Point00214,true,E4#4,68300,42100,5212,11765,E,4,E4,4,68300,42100,1,5,1,5,4
Point00215,true,E4#5,68300,40300,5212,11765,E,4,E4,5,68300,40300,1,5,1,5,4
Point00216,true,E5#1,57500,38500,5212,11765,E,5,E5,1,57500,38500,1,5,2,-5,5
Point00217,true,E5#2,57500,40300,5212,11765,E,5,E5,2,57500,40300,1,5,2,-5,5
Point00218,true,E5#3,57500,42100,5212,11765,E,5,E5,3,57500,42100,1,5,2,-5,5
Point00219,true,E5#4,59300,42100,5212,11765,E,5,E5,4,59300,42100,1,5,2,-5,5
Point00220,true,E5#5,59300,40300,5212,11765,E,5,E5,5,59300,40300,1,5,2,-5,5
Point00221,true,E6#1,48500,38500,5212,11765,E,6,E6,1,48500,38500,1,5,1,5,6
Point00222,true,E6#2,48500,40300,5212,11765,E,6,E6,2,48500,40300,1,5,1,5,6
Point00223,true,E6#3,48500,42100,5212,11765,E,6,E6,3,48500,42100,1,5,1,5,6
Point00224,true,E6#4,50300,42100,5212,11765,E,6,E6,4,50300,42100,1,5,1,5,6
Point00225,true,E6#5,50300,40300,5212,11765,E,6,E6,5,50300,40300,1,5,1,5,6
Point00226,true,E7#1,39500,38500,5212,11765,E,7,E7,1,39500,38500,1,5,2,-5,7
Point00227,true,E7#2,39500,40300,5212,11765,E,7,E7,2,39500,40300,1,5,2,-5,7
